County,State,Thousand Dry Tonnes/Yr
Autauga,Alabama,66.35391781
Baldwin,Alabama,46.6888014
Barbour,Alabama,83.67597998
Butler,Alabama,62.46444777
Calhoun,Alabama,8.99278
Chambers,Alabama,31.73598055
Cherokee,Alabama,33.09495201
Chilton,Alabama,45.18097708
Choctaw,Alabama,152.9738765
Clarke,Alabama,232.5136766
Baca,Colorado,0
Bent,Colorado,0
Boulder,Colorado,0
Broomfield,Colorado,0
Chaffee,Colorado,0.063392022
San Juan,Colorado,0
San Miguel,Colorado,0
Sutter,California,0
Tehama,California,31.02203814
Pitkin,Colorado,0
Hartford,Connecticut,11.91470646
Litchfield,Connecticut,3.05741013
Middlesex,Connecticut,0.433175598
New Haven,Connecticut,16.32970979
New London,Connecticut,13.64098613
Tolland,Connecticut,0.940322797
Windham,Connecticut,1.679832063
Crittenden,Arkansas,0.652609519
La Plata,Colorado,0.390917926
Larimer,Colorado,0.147915636
Summit,Colorado,0.380360399
Sarasota,Florida,0.193426019
Seminole,Florida,2.888434571
Sumter,Florida,12.94661512
Suwannee,Florida,38.94569627
Taylor,Florida,100.5583749
Union,Florida,23.50359056
Volusia,Florida,22.94539235
Wakulla,Florida,7.072302483
Walton,Florida,34.31609675
Washington,Florida,45.23748604
Lincoln,Colorado,0
Logan,Colorado,0
Mesa,Colorado,3.655578095
Washington,Colorado,0
Weld,Colorado,0
Berrien,Georgia,28.07116806
Bibb,Georgia,7.989814958
Montgomery,Alabama,18.31854936
Dixie,Florida,62.98543277
Duval,Florida,31.68084986
Escambia,Florida,16.37657087
Flagler,Florida,23.99838849
Franklin,Florida,5.94336382
Gadsden,Florida,78.25938988
Gilchrist,Florida,28.28066468
Glades,Florida,1.872513818
Gulf,Florida,33.42987094
Hamilton,Florida,64.56492698
Colquitt,Georgia,24.66822635
Columbia,Georgia,28.04498099
Cook,Georgia,15.07548663
Coweta,Georgia,19.18823596
Alpine,California,0
Amador,California,15.95344284
Butte,California,63.95297635
Calaveras,California,22.90266606
Harris,Georgia,27.79827116
Hart,Georgia,5.853225145
Jerome,Idaho,0
Kootenai,Idaho,57.27251523
Latah,Idaho,77.41175556
Lemhi,Idaho,0.570533707
Lewis,Idaho,8.093047172
Mohave,Arizona,0
Navajo,Arizona,6.561103179
Pima,Arizona,0
Pinal,Arizona,0
Colusa,California,0
Contra Costa,California,0
Del Norte,California,1.426368725
El Dorado,California,62.52233499
Henry,Georgia,12.26809417
Houston,Georgia,17.27795762
Irwin,Georgia,16.01133006
Jackson,Georgia,6.641456157
Jasper,Georgia,30.79186752
Jeff Davis,Georgia,34.01012143
Jefferson,Georgia,39.25442812
Washington,Idaho,0.116219625
Adams,Illinois,5.842612488
Alexander,Illinois,2.356147778
Kern,California,0
Kings,California,0
Lake,California,1.024838142
Lanier,Georgia,7.207234842
