County,State,Thousand Dry Tonnes/Yr
Autauga,Alabama,0
Baldwin,Alabama,1.461503837
Barbour,Alabama,2.454244685
Butler,Alabama,0
Calhoun,Alabama,0
Chambers,Alabama,0
Cherokee,Alabama,0
Chilton,Alabama,157.9821418
Choctaw,Alabama,112.3453605
Clarke,Alabama,224.3526707
Baca,Colorado,0
Bent,Colorado,0
Boulder,Colorado,0
Broomfield,Colorado,0
Chaffee,Colorado,0
San Juan,Colorado,0
San Miguel,Colorado,0
Sutter,California,0
Tehama,California,0
Pitkin,Colorado,0
Hartford,Connecticut,6.231392612
Litchfield,Connecticut,3.617137483
Middlesex,Connecticut,0
New Haven,Connecticut,0
New London,Connecticut,1.677855985
Tolland,Connecticut,0
Windham,Connecticut,22.07468016
Crittenden,Arkansas,0
La Plata,Colorado,0.208576993
Larimer,Colorado,1.338678919
Summit,Colorado,0
Sarasota,Florida,0
Seminole,Florida,0
Sumter,Florida,49.44548062
Suwannee,Florida,0
Taylor,Florida,439.4653017
Union,Florida,128.121038
Volusia,Florida,0
Wakulla,Florida,0
Walton,Florida,0
Washington,Florida,0
Lincoln,Colorado,0
Logan,Colorado,0
Mesa,Colorado,0
Washington,Colorado,0
Weld,Colorado,0
Berrien,Georgia,34.56000206
Bibb,Georgia,0
Montgomery,Alabama,8.311528373
Dixie,Florida,207.1121089
Duval,Florida,146.4884339
Escambia,Florida,0
Flagler,Florida,0
Franklin,Florida,0
Gadsden,Florida,0
Gilchrist,Florida,1.668841312
Glades,Florida,0
Gulf,Florida,0
Hamilton,Florida,0
Colquitt,Georgia,85.53797706
Columbia,Georgia,0
Cook,Georgia,0
Coweta,Georgia,0
Alpine,California,0
Amador,California,0
Butte,California,0
Calaveras,California,0
Harris,Georgia,0
Hart,Georgia,0
Jerome,Idaho,0
Kootenai,Idaho,245.5371519
Latah,Idaho,0
Lemhi,Idaho,0
Lewis,Idaho,211.6194453
Mohave,Arizona,0
Navajo,Arizona,61.55894727
Pima,Arizona,0
Pinal,Arizona,0
Colusa,California,0
Contra Costa,California,0
Del Norte,California,0
El Dorado,California,0
Henry,Georgia,0
