county,lat,lon,status
Appling,31.777144,-82.299627,ok
Atkinson,31.30301,-82.883936,ok
Bacon,31.555551,-82.444256,ok
Baker,31.34392,-84.455535,ok
Baldwin,33.08694,-83.263322,ok
Banks,34.33786,-83.497003,ok
Barrow,33.984861,-83.699648,ok
Bartow,34.239468,-84.840698,ok
Ben Hill,31.746273,-83.235588,ok
Berrien,31.256138,-83.244371,ok
Bibb,32.809588,-83.694562,ok
Bleckley,32.430531,-83.33118,ok
Brantley,31.192855,-81.994357,ok
Brooks,30.833656,-83.595839,ok
Bryan,32.003489,-81.424102,ok
Bulloch,32.384634,-81.744832,ok
Burke,33.048225,-81.957598,ok
Butts,33.282508,-83.954816,ok
Calhoun,31.531178,-84.614328,ok
Camden,30.929821,-81.622507,ok
Candler,32.414658,-82.093078,ok
Carroll,33.5588,-85.064127,ok
Catoosa,34.891114,-85.131315,ok
Charlton,30.877539,-82.118585,ok
Chatham,31.966889,-81.062601,ok
Chattahoochee,32.332028,-84.79398,ok
Chattooga,34.462093,-85.366052,ok
Cherokee,34.239126,-84.472027,ok
Clarke,33.945869,-83.355782,ok
Clay,31.573818,-84.980081,ok
Clayton,33.520496,-84.359171,ok
Clinch,30.893878,-82.692347,ok
Cobb,33.937395,-84.573201,ok
Coffee,31.530181,-82.840569,ok
Colquitt,31.18036,-83.769615,ok
Columbia,33.53131,-82.256398,ok
Cook,31.145512,-83.433157,ok
Coweta,33.350066,-84.754573,ok
Crawford,32.721268,-83.982534,ok
Crisp,31.915226,-83.77777,ok
Dade,34.872208,-85.499879,ok
Dawson,34.407708,-84.135677,ok
DeKalb,33.757561,-84.218651,ok
Decatur,30.873661,-84.574095,ok
Dodge,32.150651,-83.152013,ok
Dooly,32.154238,-83.825382,ok
Dougherty,31.542698,-84.196083,ok
Douglas,33.699556,-84.762297,ok
Early,31.345434,-84.928206,ok
Echols,30.696803,-82.907876,ok
Effingham,32.341963,-81.338687,ok
Elbert,34.119432,-82.840841,ok
Emanuel,32.608015,-82.291685,ok
Evans,32.161365,-81.898072,ok
Fannin,34.886795,-84.271558,ok
Fayette,33.389927,-84.495376,ok
Floyd,34.242198,-85.222925,ok
Forsyth,34.235309,-84.133564,ok
Franklin,34.367864,-83.215658,ok
Fulton,34.058115,-84.296171,ok
Gilmer,34.685979,-84.452696,ok
Glascock,33.216883,-82.6112,ok
Glynn,31.217173,-81.501268,ok
Gordon,34.501965,-84.898631,ok
Grady,30.867067,-84.232294,ok
Greene,33.549299,-83.166094,ok
Gwinnett,33.956687,-84.022747,ok
Habersham,34.627074,-83.501676,ok
Hall,34.29059,-83.819403,ok
Hancock,33.259656,-82.998814,ok
Haralson,33.78127,-85.200129,ok
Harris,32.725179,-84.910464,ok
Hart,34.341053,-82.950328,ok
Heard,33.278622,-85.113782,ok
Henry,33.451994,-84.136777,ok
Houston,32.465975,-83.631394,ok
Irwin,31.573011,-83.262451,ok
Jackson,34.128256,-83.575339,ok
Jasper,33.325463,-83.686856,ok
Jeff Davis,31.774687,-82.680073,ok
Jefferson,33.038039,-82.436141,ok
Jenkins,32.779314,-81.961357,ok
Johnson,32.693861,-82.637487,ok
Jones,33.013767,-83.556672,ok
Lamar,33.06494,-84.144595,ok
Lanier,31.029016,-83.076836,ok
Laurens,32.423997,-82.938894,ok
Lee,31.762016,-84.134621,ok
Liberty,31.803163,-81.483441,ok
Lincoln,33.787667,-82.450817,ok
Long,31.77049,-81.753725,ok
Lowndes,30.819562,-83.262826,ok
Lumpkin,34.554608,-83.992681,ok
Macon,32.342145,-84.046885,ok
Madison,34.130753,-83.181741,ok
Marion,32.347326,-84.52826,ok
McDuffie,33.463184,-82.48302,ok
McIntosh,31.497969,-81.392157,ok
Meriwether,33.037358,-84.67178,ok
Miller,31.159106,-84.737836,ok
Mitchell,31.260876,-84.179418,ok
Monroe,33.014234,-83.904416,ok
Montgomery,32.083914,-82.539273,ok
Morgan,33.579319,-83.505152,ok
Murray,34.785186,-84.735226,ok
Muscogee,32.484065,-84.850217,ok
Newton,33.571551,-83.84461,ok
Oconee,33.829579,-83.427592,ok
Oglethorpe,33.870268,-83.104938,ok
Paulding,33.890853,-84.856916,ok
Peach,32.554346,-83.835073,ok
Pickens,34.463062,-84.46824,ok
Pierce,31.343007,-82.235219,ok
Pike,33.081484,-84.396948,ok
Polk,33.998158,-85.156747,ok
Pulaski,32.233052,-83.46744,ok
Putnam,33.32315,-83.341417,ok
Quitman,31.876985,-85.015441,ok
Rabun,34.879612,-83.425136,ok
Randolph,31.762027,-84.746843,ok
Richmond,33.385076,-82.09208,ok
Rockdale,33.643028,-84.032206,ok
Schley,32.247895,-84.317552,ok
Screven,32.762338,-81.627204,ok
Seminole,30.951849,-84.878909,ok
Spalding,33.25913,-84.277086,ok
Stephens,34.55119,-83.297646,ok
Stewart,32.073274,-84.848315,ok
Sumter,32.048507,-84.186246,ok
Talbot,32.698469,-84.505404,ok
Taliaferro,33.582038,-82.904366,ok
Tattnall,32.025279,-82.058069,ok
Taylor,32.557755,-84.262834,ok
Telfair,31.918233,-82.933938,ok
Terrell,31.7616,-84.441023,ok
Thomas,30.866862,-83.946058,ok
Tift,31.458746,-83.517924,ok
Toombs,32.129684,-82.329993,ok
Towns,34.897165,-83.718277,ok
Treutlen,32.396098,-82.566619,ok
Troup,33.023762,-85.025402,ok
Turner,31.703159,-83.621441,ok
Twiggs,32.646791,-83.435164,ok
Union,34.818027,-83.990397,ok
Upson,32.864106,-84.290497,ok
Walker,34.741861,-85.320969,ok
Walton,33.762884,-83.740416,ok
Ware,31.172723,-82.482934,ok
Warren,33.412046,-82.694643,ok
Washington,32.961998,-82.774803,ok
Wayne,31.56753,-81.913155,ok
Webster,32.050618,-84.54731,ok
Wheeler,32.112996,-82.756732,ok
White,34.632261,-83.759604,ok
Whitfield,34.796929,-84.974503,ok
Wilcox,31.960784,-83.437971,ok
Wilkes,33.789843,-82.738598,ok
Wilkinson,32.792499,-83.162356,ok
Worth,31.524179,-83.87128,ok
