county,lat,lon,forest_kdry_metric,mill_kdry_metric,pulpwood_kdry_metric,Jesup -- Rayonier Advanced Materials Inc.,Oglethorpe -- International Paper Co.,Valdosta -- Packaging Corporation of America,"Conyers -- Pratt Industries USA, Inc.","Austell -- Sweetwater Paperboard Co., Inc.",Macon -- Irving Tissue Co.,Hawkinsville -- Hollingsworth & Vose Co.,Dublin -- Smurfit Westrock Paper USA,Rome -- International Paper Co.,Macon -- Graphic Packaging International Inc.,"Brunswick -- GP Cellulose, L.L.C.",Rincon -- Georgia-Pacific LLC,Port Wentworth -- International Paper Co.,Augusta -- Clearwater Paper Corp.,Albany -- Procter & Gamble Paper Products Co.,Austell -- Austell Boxboard Corp.
Appling,31.777144,-82.299627,79.45986061,0.0,134.1448562244698,30.91,120.14,110.2,198.36,193.09,127.92,82.34,73.23,252.35,123.84,70.51,94.39,84.43,135.58,130.67,191.99
Atkinson,31.30301,-82.883936,26.19672467,0.0,31.53420023279857,72.29,113.13,45.74,211.87,206.6,141.41,86.58,93.57,265.86,143.56,93.1,164.21,154.26,173.62,83.29,205.5
Bacon,31.555551,-82.444256,37.43925022,7.473163798,43.5634493395171,38.44,129.23,90.78,207.78,202.51,137.34,91.44,87.31,261.77,133.26,69.93,117.47,107.51,154.62,118.06,201.41
Baker,31.34392,-84.455535,4.776384982,0.0,28.96026972485244,181.26,86.48,84.32,204.48,199.21,134.02,101.57,143.92,218.78,136.16,202.07,248.57,252.79,258.35,31.93,198.1
Baldwin,33.08694,-83.263322,13.20669414,0.0,29.536311798553243,151.62,85.52,180.28,74.81,82.47,34.98,66.03,50.21,144.6,31.88,224.51,159.57,163.79,93.31,136.01,81.37
Banks,34.33786,-83.497003,5.446911974,0.0,1.205121103844538,247.41,187.53,296.89,70.92,95.41,152.54,197.16,152.07,120.69,125.43,315.84,226.49,242.16,127.87,252.62,96.42
Barrow,33.984861,-83.699648,1.945699806,0.0,3.394248184328906,225.9,139.35,248.71,35.71,70.47,104.36,148.98,130.76,95.75,94.91,307.51,218.17,233.84,119.54,204.44,71.49
Bartow,34.239468,-84.840698,18.74167739,0.0,67.45356492567912,283.45,166.33,275.69,73.42,69.0,131.34,175.96,186.76,23.45,134.94,356.34,291.41,295.63,195.94,231.42,70.01
Ben Hill,31.746273,-83.235588,12.83290807,215.9014149,8.093294925683427,96.72,78.86,77.41,163.0,157.73,92.54,43.67,70.71,216.99,94.68,129.0,163.14,167.36,166.75,65.33,156.62
Berrien,31.256138,-83.244371,28.07116806,34.56000206,13.124900231378913,103.04,101.55,31.23,200.29,195.02,129.83,79.31,107.76,254.28,131.98,123.86,194.97,185.02,198.16,71.71,193.92
Bibb,32.809588,-83.694562,7.989814958,0.0,1.8428488556713898,157.91,53.47,148.22,75.76,70.49,3.66,48.5,61.22,129.75,6.45,230.8,165.87,170.09,128.63,103.95,69.39
Bleckley,32.430531,-83.33118,20.42316337,0.0,27.082751997663586,112.97,52.75,130.37,112.98,107.71,42.54,14.95,32.91,166.97,38.46,152.56,137.56,141.78,132.03,86.1,106.61
Brantley,31.192855,-81.994357,38.11184461,108.5591979,140.48880808974928,30.57,169.62,86.67,268.37,263.09,197.91,131.16,124.95,322.36,175.55,37.69,108.8,98.85,178.82,139.78,261.99
Brooks,30.833656,-83.595839,16.62052416,0.0,37.056608343895746,123.15,126.57,23.11,225.31,220.04,154.85,122.4,155.49,279.3,157.0,143.17,214.28,204.33,279.18,70.7,218.94
Bryan,32.003489,-81.424102,28.46259595,0.0,28.071633409114078,45.9,189.74,148.59,232.58,227.31,162.15,145.07,107.45,286.57,158.06,66.08,34.52,24.57,126.83,216.21,226.21
Bulloch,32.384634,-81.744832,62.43136936,0.0,70.53374077231527,72.31,159.79,164.28,203.24,197.36,132.19,115.11,77.5,256.62,128.11,108.75,43.82,48.04,85.25,186.26,196.25
Burke,33.048225,-81.957598,91.31571507,0.0,130.30109212364042,120.17,176.39,192.79,152.89,179.36,125.85,128.03,83.5,222.68,122.19,157.87,72.02,87.69,34.9,199.18,180.49
Butts,33.282508,-83.954816,10.68322472,0.0,21.019366614787476,189.07,79.8,189.16,35.26,35.47,44.81,89.43,92.38,94.73,40.56,261.96,197.03,201.25,130.73,144.89,34.36
Calhoun,31.531178,-84.614328,4.671498848,0.0,17.068979331947794,184.97,71.82,107.48,201.53,173.43,136.9,104.44,146.8,201.4,139.04,205.79,251.44,255.66,261.22,32.13,173.64
Camden,30.929821,-81.622507,56.47449852,0.0,208.20477421574998,63.76,208.82,125.86,321.71,316.44,251.28,171.85,196.58,375.7,247.19,31.56,108.63,98.68,215.96,178.97,315.34
Candler,32.414658,-82.093078,20.514129,0.0,34.48108382951006,69.63,136.28,145.59,179.12,173.85,108.68,91.6,53.99,233.11,104.6,126.41,61.47,65.69,80.93,162.75,172.74
Carroll,33.5588,-85.064127,45.66888367,0.0,31.380614794759982,261.88,124.27,254.11,71.91,49.65,109.77,154.39,165.19,38.63,113.36,334.77,269.83,274.05,194.44,168.24,49.86
Catoosa,34.891114,-85.131315,5.619195374,0.0,12.033213265894105,336.36,219.24,328.59,126.33,121.91,184.25,228.87,239.67,79.15,187.84,409.25,344.31,348.53,248.85,284.33,122.92
Charlton,30.877539,-82.118585,73.55398566,0.0,244.58052815584293,55.92,178.09,95.13,276.83,271.56,206.37,139.62,142.36,330.82,188.31,58.9,134.16,124.21,203.81,148.24,270.45
Chatham,31.966889,-81.062601,9.431620276,311.9076808,13.515061442872954,67.21,205.35,186.07,248.19,242.92,177.75,160.67,123.06,302.18,173.67,77.59,28.99,13.58,131.85,231.82,241.82
Chattahoochee,32.332028,-84.79398,7.784177492,0.0,9.489302414320854,195.76,50.13,149.38,141.08,112.98,90.0,86.32,128.89,140.96,92.14,243.49,233.53,237.75,214.33,68.63,113.19
Chattooga,34.462093,-85.366052,19.43494579,10.01417471,27.8643637995533,324.0,206.88,316.24,113.97,109.55,171.89,216.51,227.31,44.57,175.49,396.89,331.95,336.17,236.49,247.81,110.56
Cherokee,34.239126,-84.472027,12.31275003,0.0,29.75086360067819,275.38,158.26,267.61,65.35,60.92,123.26,167.89,178.68,43.35,126.86,348.27,283.33,287.55,187.87,223.34,61.94
Clarke,33.945869,-83.355782,1.629525311,0.0,1.9470279710934166,214.95,136.11,241.35,47.24,75.26,93.26,141.62,119.59,116.47,92.95,283.38,194.04,209.7,95.41,197.08,76.4
Clay,31.573818,-84.980081,6.544839626,0.0,42.19455041983156,213.94,94.1,136.45,203.17,175.07,145.73,126.64,168.99,203.05,147.87,234.75,273.64,277.86,270.06,67.56,175.29
Clayton,33.520496,-84.359171,0.667246717,0.0,2.669131737330515,221.03,96.13,213.26,26.14,3.01,68.91,113.54,124.33,63.39,72.51,293.92,228.98,233.2,147.49,145.66,4.03
Clinch,30.893878,-82.692347,103.313531,16.32782621,166.70454831418894,79.77,150.05,50.98,248.79,243.52,178.33,119.67,126.66,302.78,180.47,99.79,170.9,160.95,216.29,120.21,242.42
Cobb,33.937395,-84.573201,0.772091503,0.0,15.112569158670684,254.61,137.49,246.84,44.58,40.15,102.49,147.12,157.91,34.48,106.09,327.5,262.56,266.78,167.1,202.57,39.03
